"time","SH","EH","IH","RH","AV","SV","EV","IV","Inc","IncCS","R0","Vls","EIC"
290.25,270000,0,0,0,1587785.31739715,2005432.76791485,0,0,0,0,3.55386805149099,13.0334879303564,8.19815209124127
290.3125,270000,0,0,0,1587404.2099659,2001694.29013341,0,0,0,0,3.50149839971265,13.0138821264131,8.22254406188439
290.375,270000,0,0,0,1587012.87935101,1997920.35305028,0,0,0,0,3.44973114542952,12.995111845188,8.2474977482528
290.4375,270000,0,0,0,1586597.09046436,1994118.30165207,0,0,0,0,3.39857225875936,12.9771745687681,8.27225718681989
290.5,270000,0,0,0,1586162.49669376,1990281.18511426,0,0,0,0,3.34792927340522,12.9599847249108,8.29758248725258
290.5625,270000,0,0,0,1585703.97658631,1986417.1001719,0,0,0,0,3.29787432558357,12.9436053473894,8.32270815315674
290.625,270000,0,0,0,1585234.98687503,1982510.29797517,0,0,0,0,3.24820257483724,12.9272407143604,8.34840441854019
290.6875,270000,0,0,0,1584752.21496774,1978535.51213116,0,0,0,0,3.19839249428918,12.9082830286521,8.37369630970922
290.75,270000,0,0,0,1584255.75176616,1974537.94211115,0,0,0,0,3.1494841926225,12.8902569168394,8.3988139526035
290.8125,270000,0,0,0,1583729.09567803,1970524.21018787,0,0,0,0,3.10145241112038,12.8731060365008,8.42453940929826
290.875,270000,0,0,0,1583201.44226684,1966487.96996956,0,0,0,0,3.05443982425549,12.8567898779059,8.44987901625957
290.9375,270000,0,0,0,1582658.01988228,1962438.15980385,0,0,0,0,3.00849185819245,12.8413053565536,8.47486130795964
291,270000,0,0,0,1582111.04120863,1958374.38861808,0,0,0,0,2.96366582324049,12.8265671639558,8.49951312414492
291.0625,270000,0,0,0,1581555.91887565,1954298.1075044,0,0,0,0,2.9199763722664,12.8126373042154,8.52385971281536
291.125,270000,0,0,0,1580989.76286856,1950210.25529453,0,0,0,0,2.87747326224433,12.7994070500063,8.54771885736555
291.1875,270000,0,0,0,1580413.01495144,1946117.58557002,0,0,0,0,2.8362752512895,12.7868464603526,8.57033841921365
291.25,270000,0,0,0,1579841.44395902,1942005.8419174,0,0,0,0,2.79615093235378,12.774284497147,8.59278643699881
291.3125,270000,0,0,0,1579264.42510389,1937851.31459311,0,0,0,0,2.75649278109735,12.7590994737987,8.61487082800706
291.375,270000,0,0,0,1578678.06345482,1933703.7988875,0,0,0,0,2.71827571899488,12.7448221293323,8.63582500013794
291.4375,270000,0,0,0,1578082.39234805,1929556.07429362,0,0,0,0,2.68139780187604,12.7313503954461,8.65651049145259
291.5,270000,0,0,0,1577484.64553901,1925417.09477353,0,0,0,0,2.64596637859114,12.7186948725486,8.67615144663459
291.5625,270000,0,0,0,1576880.22952444,1921286.79766324,0,0,0,0,2.61187914686915,12.7068061089224,8.69560775294412
291.625,270000,0,0,0,1576289.31151868,1917165.32253585,0,0,0,0,2.57922267988159,12.6956499840322,8.71388526139842
291.6875,270000,0,0,0,1575699.58488862,1913053.55355144,0,0,0,0,2.5479902151718,12.685253860092,8.73105539173983
291.75,270000,0,0,0,1575115.59969914,1908952.20433053,0,0,0,0,2.51812247180637,12.6756311353676,8.74739490480949
291.8125,270000,0,0,0,1574548.72172441,1904863.05055409,0,0,0,0,2.4895372496427,12.6667473436632,8.76375429139555
291.875,270000,0,0,0,1574008.53057994,1900795.03386192,0,0,0,0,2.46234400979103,12.6586172411885,8.77912251298279
291.9375,270000,0,0,0,1573483.43076723,1896748.25312296,0,0,0,0,2.4364736080438,12.6512076235571,8.79355962121492
292,270000,0,0,0,1572978.22323436,1892723.38945908,0,0,0,0,2.41192323047271,12.6445344862166,8.80712202939099
292.0625,270000,0,0,0,1572504.54669778,1888720.56096379,0,0,0,0,2.38867901002071,12.6385657608402,8.81986273290147
292.125,270000,0,0,0,1572059.54514431,1884740.62855605,0,0,0,0,2.3667413207894,12.6333309679056,8.83183151630886
292.1875,270000,0,0,0,1571649.06087972,1880784.16159379,0,0,0,0,2.3460940341968,12.6288332058423,8.84307514788188
292.25,270000,0,0,0,1571267.61641427,1876852.32102771,0,0,0,0,2.32668710826755,12.6249932895046,8.85342789414178
292.3125,270000,0,0,0,1570922.96630923,1872954.70270427,0,0,0,0,2.30863525812603,12.6218912336809,8.86214356485586
292.375,270000,0,0,0,1570623.18799679,1869091.24827252,0,0,0,0,2.2918226225128,12.6194828714137,8.8703311798444
292.4375,270000,0,0,0,1570367.90582462,1865262.20788346,0,0,0,0,2.27621199661222,12.6177516216631,8.87802273238232
292.5,270000,0,0,0,1570152.1013702,1861468.82840109,0,0,0,0,2.26184286845653,12.6167645589145,8.88503954310265
292.5625,270000,0,0,0,1569990.00071017,1857710.48428032,0,0,0,0,2.24874120625952,12.6164298715315,8.89062589051686
292.625,270000,0,0,0,1569876.58202885,1853987.72182129,0,0,0,0,2.23666900097286,12.6167564141097,8.89587377829512
292.6875,270000,0,0,0,1569822.83839253,1850298.15718304,0,0,0,0,2.22555615566037,12.6176447606298,8.90059590610773
292.75,270000,0,0,0,1569838.73146492,1846635.17282077,0,0,0,0,2.21534364261101,12.6190490490181,8.90403106656666
292.8125,270000,0,0,0,1569907.74840409,1843004.74506738,0,0,0,0,2.20585583027394,12.6208908828355,8.90725810120165
292.875,270000,0,0,0,1570054.81660678,1839400.98914021,0,0,0,0,2.19697213855945,12.6231921944306,8.9102896197173
292.9375,270000,0,0,0,1570269.28383148,1835829.79039816,0,0,0,0,2.18858511885515,12.6258653252058,8.91313746783491
293,270000,0,0,0,1570563.46458539,1832283.07234165,0,0,0,0,2.18060556646528,12.628888294389,8.91581277357989
293.0625,270000,0,0,0,1570936.66673219,1828760.82375532,0,0,0,0,2.17297891491731,12.6322278530256,8.91832599076479
293.125,270000,0,0,0,1571389.53159322,1825260.82524252,0,0,0,0,2.16563631217849,12.6358046536136,8.92068693983774
