"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
154.625,17.8114,0.7185,0,0.0487,0.0156,1.3833,0.0426,0.3933,0.3284,0.0193,0.5643,0.714,0
154.6875,17.8237,0.7182,0,0.0488,0.0156,1.3891,0.0427,0.3942,0.3293,0.0192,0.5647,0.7145,0
154.75,17.8371,0.7179,0,0.049,0.0157,1.3954,0.0427,0.3953,0.3303,0.0192,0.5649,0.715,0
154.8125,17.8516,0.7178,0,0.0492,0.0157,1.4022,0.0428,0.3965,0.3314,0.0192,0.5651,0.7155,0
154.875,17.8672,0.7177,0,0.0494,0.0158,1.4096,0.0429,0.3977,0.3325,0.0192,0.5651,0.7161,0
154.9375,17.8839,0.7178,0,0.0496,0.0159,1.4176,0.0429,0.399,0.3337,0.0192,0.565,0.7167,0
155,17.9018,0.718,0,0.0498,0.0159,1.4261,0.043,0.4005,0.335,0.0192,0.5648,0.7174,0
155.0625,17.9208,0.7184,0,0.05,0.016,1.4351,0.0431,0.402,0.3364,0.0192,0.5645,0.7181,0
155.125,17.9408,0.7188,0,0.0503,0.0161,1.4448,0.0432,0.4036,0.3379,0.0192,0.5641,0.7188,0
155.1875,17.9621,0.7193,0,0.0505,0.0162,1.455,0.0432,0.4053,0.3394,0.0192,0.5635,0.7196,0
155.25,17.9844,0.72,0,0.0508,0.0163,1.4658,0.0433,0.4071,0.3411,0.0192,0.5629,0.7204,0
155.3125,18.0078,0.7208,0,0.0511,0.0164,1.4771,0.0434,0.409,0.3428,0.0191,0.5621,0.7212,0
155.375,18.0324,0.7217,0,0.0514,0.0165,1.4891,0.0435,0.4109,0.3446,0.0191,0.5612,0.7221,0
155.4375,18.058,0.7227,0,0.0517,0.0166,1.5016,0.0436,0.413,0.3464,0.0191,0.5602,0.723,0
155.5,18.0848,0.7238,0,0.0521,0.0167,1.5148,0.0437,0.4151,0.3484,0.0191,0.5591,0.724,0
155.5625,18.1105,0.7247,0,0.0524,0.0169,1.5274,0.0438,0.4172,0.3503,0.0191,0.5582,0.7249,0
155.625,18.135,0.7256,0,0.0527,0.017,1.5396,0.0439,0.4191,0.352,0.0191,0.5574,0.7257,0
155.6875,18.1585,0.7262,0,0.053,0.0171,1.5513,0.044,0.421,0.3538,0.0191,0.5567,0.7266,0
155.75,18.1808,0.7268,0,0.0533,0.0172,1.5624,0.0441,0.4228,0.3554,0.0191,0.5562,0.7273,0
155.8125,18.202,0.7272,0,0.0535,0.0173,1.573,0.0442,0.4245,0.3569,0.019,0.5558,0.728,0
155.875,18.2221,0.7274,0,0.0538,0.0174,1.5831,0.0443,0.4261,0.3584,0.019,0.5555,0.7287,0
155.9375,18.2411,0.7275,0,0.054,0.0175,1.5927,0.0444,0.4276,0.3598,0.019,0.5555,0.7294,0
156,18.2589,0.7275,0,0.0543,0.0176,1.6017,0.0444,0.4291,0.3611,0.019,0.5555,0.73,0
156.0625,18.2757,0.7273,0,0.0545,0.0177,1.6102,0.0445,0.4304,0.3623,0.019,0.5557,0.7305,0
156.125,18.2913,0.7269,0,0.0547,0.0178,1.6181,0.0446,0.4317,0.3634,0.019,0.556,0.7311,0
156.1875,18.3058,0.7264,0,0.0549,0.0178,1.6255,0.0446,0.4328,0.3645,0.019,0.5565,0.7316,0
156.25,18.3192,0.7258,0,0.055,0.0179,1.6324,0.0447,0.4339,0.3655,0.019,0.5571,0.732,0
