Date,Temp,Hum,Prec,Cases
15/02/2013,15,73,0,
16/02/2013,15,75,0,
17/02/2013,17,85,3,
18/02/2013,14,66,0.8,2
19/02/2013,14,65,0,
20/02/2013,16,83,4.1,
21/02/2013,16,83,0.3,
22/02/2013,17,72,0.3,
23/02/2013,15,65,0,
24/02/2013,15,68,0,
25/02/2013,15,74,0,
26/02/2013,15,71,0,
27/02/2013,15,59,0,
28/02/2013,15,62,0,
01/03/2013,15,80,19,
02/03/2013,15,79,0,
03/03/2013,15,89,32.5,
04/03/2013,14,83,17.5,
05/03/2013,15,86,76.5,
06/03/2013,18,93,0.3,
07/03/2013,18,92,2.3,
08/03/2013,16,89,2.5,
09/03/2013,15,74,1.3,
10/03/2013,15,72,0,
11/03/2013,15,74,0,
12/03/2013,17,89,0,
13/03/2013,16,88,0.3,
14/03/2013,15,93,19,
15/03/2013,16,86,0,
16/03/2013,16,93,15.5,
17/03/2013,16,92,2.8,
18/03/2013,16,90,4.1,
19/03/2013,16,85,2,
20/03/2013,16,78,0,
21/03/2013,15,81,9.1,
22/03/2013,15,69,0.5,
23/03/2013,15,61,1.5,
24/03/2013,14,64,0,
25/03/2013,15,79,0,
26/03/2013,17,88,14,
27/03/2013,17,78,0.5,
28/03/2013,16,80,0,
29/03/2013,17,90,0,
30/03/2013,18,88,0,
31/03/2013,17,86,2.3,
01/04/2013,16,78,0,
02/04/2013,15,75,6.9,
03/04/2013,12,72,14.5,
04/04/2013,15,64,1.3,
05/04/2013,16,58,0,
06/04/2013,15,62,0,
07/04/2013,15,68,0,
08/04/2013,14,73,0,
09/04/2013,16,78,0,
10/04/2013,16,76,0,
11/04/2013,18,82,0,
12/04/2013,17,79,0,
13/04/2013,18,73,0,
14/04/2013,17,81,0,
15/04/2013,18,82,0,
16/04/2013,18,79,0,
17/04/2013,16,77,0,
18/04/2013,17,80,0,
19/04/2013,18,78,0,
20/04/2013,19,67,0,
21/04/2013,21,53,0,
22/04/2013,20,53,0,
23/04/2013,17,80,0,
24/04/2013,17,83,0,
25/04/2013,18,74,0,
26/04/2013,18,68,0,
27/04/2013,17,73,0,
28/04/2013,16,60,0,
29/04/2013,15,59,0,
30/04/2013,16,58,0,
